,Price_EUR_MWh,Forecast_Load_MW,Forecast_Solar_MW,Forecast_Wind_MW,Forecast_Residual_Load_MW,Is_Negative,Year,Hour,DayOfWeek,Month,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos
2025-01-01 00:00:00+01:00,12.36,64000.0,0.0,11173.11,52826.89,False,2025,0,2,1,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 01:00:00+01:00,18.92,61100.0,0.0,11293.59,49806.41,False,2025,1,2,1,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 02:00:00+01:00,16.66,61300.0,0.0,11516.09,49783.91,False,2025,2,2,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 03:00:00+01:00,13.1,57800.0,0.0,11729.3,46070.7,False,2025,3,2,1,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 04:00:00+01:00,5.9,55200.0,0.0,11940.11,43259.89,False,2025,4,2,1,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 05:00:00+01:00,9.27,54000.0,0.0,12281.91,41718.09,False,2025,5,2,1,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 06:00:00+01:00,10.04,53500.0,0.0,12624.21,40875.79,False,2025,6,2,1,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 07:00:00+01:00,7.23,54100.0,0.0,12964.71,41135.29,False,2025,7,2,1,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 08:00:00+01:00,12.83,54400.0,0.0,13755.16,40644.84,False,2025,8,2,1,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 09:00:00+01:00,13.76,54200.0,451.01,14543.86,39205.13,False,2025,9,2,1,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 10:00:00+01:00,17.95,55600.0,2766.34,15332.03,37501.630000000005,False,2025,10,2,1,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 11:00:00+01:00,20.59,57300.0,5483.62,15673.95,36142.42999999999,False,2025,11,2,1,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 12:00:00+01:00,28.11,59700.0,7123.01,16014.41,36562.58,False,2025,12,2,1,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 13:00:00+01:00,30.0,60600.0,7483.59,16354.38,36762.030000000006,False,2025,13,2,1,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 14:00:00+01:00,21.5,57700.0,6648.85,16624.61,34426.54,False,2025,14,2,1,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 15:00:00+01:00,10.68,55800.0,4653.67,16894.75,34251.58,False,2025,15,2,1,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2025-01-01 16:00:00+01:00,20.18,54600.0,1800.54,17164.510000000002,35634.95,False,2025,16,2,1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
